Company,Location_HQ,Industry,Laid_Off_Count,Date,Source,List_of_Employees_Laid_Off,Funds_Raised,Stage,Date_Added,Country,Percentage
Sono Motors,Munich,Transportation,300,2023-02-27 00:00:00,https://twitter.com/sonomotors/status/1630246207137419264,https://docs.google.com/spreadsheets/d/1l_rGoc_GegLiJ3mgkqM54VIkRvJV3KQA7SYtAWfb-jw/edit#gid=1208363482,126.0,Post-IPO,2023-02-28 05:02:15,Germany,
Cerebral,SF Bay Area,Healthcare,285,2023-02-27 00:00:00,https://www.businessinsider.com/cerebral-cuts-15-percent-staff-285-employees-layoffs-february-2023-2,Unknown,462.0,Series C,2023-02-27 23:41:29,United States,0.15
Palantir,Denver,Data,75,2023-02-27 00:00:00,https://www.cnbc.com/2023/02/27/palantir-layoffs-75-employees-2percent-of-workforce.html,Unknown,3000.0,Post-IPO,2023-02-27 23:40:15,United States,0.02
BitSight,Tel Aviv,Security,40,2023-02-26 00:00:00,https://www.calcalistech.com/ctechnews/article/r1zxrmkri,Unknown,401.0,Unknown,2023-02-27 17:26:32,Israel,
Twitter,SF Bay Area,Consumer,200,2023-02-25 00:00:00,https://www.nytimes.com/2023/02/26/technology/twitter-layoffs.html,Unknown,12900.0,Post-IPO,2023-02-26 20:58:23,United States,0.1
Ericsson,Stockholm,Other,8500,2023-02-24 00:00:00,https://www.reuters.com/business/media-telecom/ericsson-lay-off-8500-employees-memo-2023-02-24/,Unknown,663.0,Post-IPO,2023-02-24 05:00:10,Sweden,0.08
SAP Labs,Bengaluru,Other,300,2023-02-24 00:00:00,https://economictimes.indiatimes.com/tech/technology/sap-labs-lays-off-300-staffers-in-india/articleshow/98189199.cms,Unknown,1300.0,Subsidiary,2023-02-24 23:40:16,India,
Velodyne Lidar,SF Bay Area,Transportation,220,2023-02-24 00:00:00,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,Unknown,575.0,Acquired,2023-02-24 18:32:37,United States,
Medallia,SF Bay Area,Support,59,2023-02-24 00:00:00,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,Unknown,325.0,Acquired,2023-02-24 18:30:07,United States,
Eat Just,SF Bay Area,Food,40,2023-02-24 00:00:00,https://www.bloomberg.com/news/articles/2023-02-24/eat-just-to-cut-about-18-of-staff-in-plant-based-egg-division#xj4y7vzkg,Unknown,465.0,Unknown,2023-02-27 17:24:33,United States,
Lucira Health,SF Bay Area,Healthcare,26,2023-02-24 00:00:00,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,Unknown,132.0,Post-IPO,2023-02-24 18:31:39,United States,
Stax,Orlando,Finance,24,2023-02-24 00:00:00,https://www.bizjournals.com/orlando/inno/stories/news/2023/02/24/florida-2023-tech-jobs-layoffs-stax-technology.html,Unknown,263.0,Series D,2023-02-26 02:05:09,United States,
Poshmark,SF Bay Area,Retail,,2023-02-24 00:00:00,https://techcrunch.com/2023/02/24/poshmark-lays-off-employees-just-two-months-after-being-acquired-by-naver/amp/,Unknown,153.0,Acquired,2023-02-24 16:03:11,United States,0.02
Merative,Ann Arbor,Healthcare,200,2023-02-23 00:00:00,https://www.theregister.com/2023/02/23/merative_job_cuts_ibm_watson/,Unknown,,Acquired,2023-02-26 21:23:49,United States,0.1
OneFootball,Berlin,Marketing,150,2023-02-23 00:00:00,https://www.businessinsider.de/gruenderszene/business/massenentlassung-onefootball/,Unknown,442.0,Series D,2023-02-24 16:02:03,Germany,0.32
The Iconic,Sydney,Retail,69,2023-02-23 00:00:00,https://insideretail.com.au/business/the-iconic-culls-69-roles-as-it-morphs-from-marketplace-to-platform-202302,Unknown,,Unknown,2023-02-24 05:09:07,Australia,0.06
EVgo,Los Angeles,Transportation,40,2023-02-23 00:00:00,https://www.businesswire.com/news/home/20230223005797/en/EVgo-Inc.-Aligns-Organization-Around-Growing-Its-Charging-Network,Unknown,400.0,Post-IPO,2023-02-24 05:10:07,United States,
StrongDM,SF Bay Area,Infrastructure,40,2023-02-23 00:00:00,https://www.strongdm.com/blog/strongdm-company-update-letter-from-ceo-to-staff,Unknown,76.0,Series B,2023-02-23 22:34:44,United States,
Dapper Labs,Vancouver,Crypto,,2023-02-23 00:00:00,https://www.theblock.co/post/214755/dapper-labs-said-to-lay-off-20-more-of-its-full-time-employees,Unknown,607.0,Series D,2023-02-23 22:37:31,United States,0.2
Messari,New York City,Crypto,,2023-02-23 00:00:00,https://www.coindesk.com/business/2023/02/23/crypto-analytics-firm-messari-cuts-15-workforce-as-part-of-restructuring/,Unknown,61.0,Series B,2023-02-23 22:36:15,United States,0.15
Vibrent Health,Washington D.C.,Healthcare,,2023-02-23 00:00:00,https://www.bizjournals.com/washington/news/2023/02/23/fairfax-vibrent-health-tech-data-startup-layoffs.html,Unknown,,Unknown,2023-02-26 02:08:20,United States,0.13
Synamedia,London,Media,200,2023-02-22 00:00:00,https://www.calcalistech.com/ctechnews/article/hk2uvdqcs,Unknown,,Unknown,2023-02-27 17:29:09,United Kingdom,0.12
TaskUs,San Antonio,Support,186,2023-02-22 00:00:00,https://www.expressnews.com/business/article/taskus-layoff-186-employees-san-antonio-17798813.php,Unknown,279.0,Post-IPO,2023-02-23 22:35:28,United States,
Arch Oncology,St. Louis,Healthcare,,2023-02-22 00:00:00,https://www.bizjournals.com/stlouis/inno/stories/news/2023/02/22/arch-oncology-layoffs-leaves-cortex-office.html,Unknown,155.0,Series C,2023-02-23 23:02:52,United States,
Immutable,Sydney,Crypto,,2023-02-22 00:00:00,https://www.smh.com.au/technology/australia-s-biggest-crypto-gaming-start-up-slashes-staff-20230222-p5cmii.html,Unknown,279.0,Series C,2023-02-22 15:18:48,Australia,0.11
Jounce Therapeutics,Boston,Healthcare,,2023-02-22 00:00:00,https://www.globenewswire.com/news-release/2023/02/22/2613789/0/en/Jounce-Therapeutics-Announces-Restructuring.html,Unknown,194.0,Acquired,2023-02-26 02:09:16,United States,0.57
Locomation,Pittsburgh,Transportation,,2023-02-22 00:00:00,https://www.bizjournals.com/pittsburgh/news/2023/02/22/locomation-shutting-down-operations-out-of-fund.html,Unknown,57.0,Seed,2023-02-23 00:24:36,United States,1.0
Polygon,Bengaluru,Crypto,100,2023-02-21 00:00:00,https://inc42.com/buzz/polygon-lays-off-20-of-its-workforce-as-part-of-consolidation-process/,Unknown,451.0,Unknown,2023-02-21 19:54:49,India,0.2
Crunchyroll,Tokyo,Media,85,2023-02-21 00:00:00,https://www.animenewsnetwork.com/news/2023-02-21/crunchyroll-lays-off-approximately-85-employees-globally/.195161,Unknown,26.0,Unknown,2023-02-22 15:16:43,Japan,
Ethos Life,SF Bay Area,Finance,50,2023-02-21 00:00:00,https://www.coverager.com/ethos-conducts-another-round-of-layoffs/,Unknown,406.0,Series D,2023-02-24 16:01:03,United States,
Bolt,Lagos,Transportation,17,2023-02-21 00:00:00,https://techpoint.africa/2023/02/21/bolt-lays-off-17-of-its-70-workers-in-nigeria/,Unknown,,Series F,2023-02-22 02:48:31,Nigeria,
Criteo,Paris,Marketing,,2023-02-21 00:00:00,https://digiday.com/media-buying/criteo-adds-to-the-ongoing-wave-of-ad-tech-layoffs/,Unknown,61.0,Post-IPO,2023-02-21 19:10:52,France,
Green Labs,Seoul,Food,,2023-02-21 00:00:00,https://techcrunch.com/2023/02/21/agtech-startup-green-labs-is-the-latest-korean-startup-to-lay-off-employees/,Unknown,214.0,Series C,2023-02-21 19:27:25,South Korea,
PeerStreet,Los Angeles,Real Estate,,2023-02-21 00:00:00,https://www.bizjournals.com/triangle/inno/stories/news/2023/02/21/more-tech-layoffs-hit-north-carolina.html,Unknown,121.0,Series C,2023-02-22 02:50:37,United States,
Zalando,Berlin,Retail,,2023-02-21 00:00:00,https://www.reuters.com/business/retail-consumer/online-fashion-retailer-zalando-cutting-hundreds-jobs-2023-02-21/,Unknown,467.0,Post-IPO,2023-02-21 19:12:15,Germany,
MyGate,Bengaluru,Other,200,2023-02-20 00:00:00,https://inc42.com/buzz/bengaluru-based-mygate-lays-off-30-workforce-amid-funding-winter/,Unknown,79.0,Series B,2023-02-20 18:16:51,India,0.3
Fireblocks,New York City,Crypto,30,2023-02-20 00:00:00,https://www.calcalistech.com/ctechnews/article/rksbjrxro,Unknown,1000.0,Series E,2023-02-22 02:47:08,United States,0.05
Kinde,Sydney,Other,8,2023-02-20 00:00:00,https://www.news.com.au/finance/work/at-work/sydney-technology-company-kinde-lays-off-285-of-staff-as-focus-moves-to-product-team/news-story/618e97ecfe4b7e088a6ff39a70a78bcb,Unknown,10.0,Seed,2023-02-20 04:15:48,Australia,0.28
Fipola,Chennai,Food,,2023-02-20 00:00:00,https://www.medianews4u.com/meat-d2c-fipola-shuts-ops-liquidation-process-on-to-clear-dues-by-april-2023/,Unknown,9.0,Series A,2023-02-21 06:04:35,United States,1.0
HP,Tel Aviv,Hardware,100,2023-02-19 00:00:00,https://www.themarker.com/technation/2023-02-19/ty-article/.premium/00000186-692c-d22b-ad9e-7f6e08aa0000,Unknown,4200.0,Post-IPO,2023-02-20 04:15:39,Israel,
Tencent,Shenzen,Consumer,300,2023-02-17 00:00:00,https://brandequity.economictimes.indiatimes.com/news/digital/tencent-says-is-making-personnel-adjustments-after-report-of-layoffs/97998975,Unknown,12600.0,Post-IPO,2023-02-17 17:26:53,China,
Evernote,SF Bay Area,Consumer,129,2023-02-17 00:00:00,https://techcrunch.com/2023/02/27/bending-spoons-lays-off-129-evernote-staffers/,Unknown,290.0,Acquired,2023-02-27 17:20:54,United States,
Chipper Cash,SF Bay Area,Finance,100,2023-02-17 00:00:00,https://techweez.com/2023/02/18/chipper-cash-fires-a-third-of-its-workforce/,Unknown,302.0,Series C,2023-02-20 18:18:16,United States,0.33
Digimarc,Portland,Other,,2023-02-17 00:00:00,https://www.oregonlive.com/silicon-forest/2023/02/oregon-tech-company-digimarc-will-lay-off-17-of-its-workforce.html,Unknown,105.0,Post-IPO,2023-02-24 05:05:16,United States,
DocuSign,SF Bay Area,Sales,680,2023-02-16 00:00:00,https://www.cnbc.com/2023/02/16/docusign-layoffs-company-to-cut-10percent-of-workforce.html,Unknown,536.0,Post-IPO,2023-02-16 15:33:55,United States,0.1
Pico Interactive,SF Bay Area,Other,400,2023-02-16 00:00:00,https://pandaily.com/pico-starts-small-scale-layoffs-new-products-to-be-unveiled-in-april/,Unknown,62.0,Acquired,2023-02-16 15:56:43,United States,0.2
The RealReal,SF Bay Area,Retail,230,2023-02-16 00:00:00,https://www.theinformation.com/briefings/the-realreal-to-cut-7-of-headcount-close-some-stores-and-offices,Unknown,356.0,Post-IPO,2023-02-16 17:45:36,United States,0.07
Smartsheet,Seattle,Other,85,2023-02-16 00:00:00,https://www.bizjournals.com/seattle/news/2023/02/16/smartsheet-lays-off-85-employees-globally.html,Unknown,152.0,Post-IPO,2023-02-17 21:30:41,United States,0.03
Convoy,Atlanta,Logistics,,2023-02-16 00:00:00,https://techcrunch.com/2023/02/16/trucking-app-convoy-layoffs-restructuring/,Unknown,1100.0,Series E,2023-02-16 17:52:48,United States,
Wix,Tel Aviv,Marketing,370,2023-02-15 00:00:00,https://www.calcalistech.com/ctechnews/article/s1lsqn5as,Unknown,58.0,Post-IPO,2023-02-15 21:00:06,Israel,0.06
ServiceTitan,Los Angeles,Sales,221,2023-02-15 00:00:00,https://www.theinformation.com/briefings/servicetitan-cuts-8-percent-of-workforce,Unknown,1100.0,Series G,2023-02-16 17:44:30,United States,0.08
Neon,Sao Paulo,Finance,210,2023-02-15 00:00:00,https://www.seudinheiro.com/2023/empresas/unicornio-neon-banco-digital-demissao-em-massa-lils/,https://docs.google.com/spreadsheets/d/1HPjbndRJEq8OppLnQ17gjLKWGTLDCihH88KJ3ERr_10/htmlview#gid=0,720.0,Series D,2023-02-15 21:58:53,Brazil,0.09
Jellysmack,Paris,Media,208,2023-02-15 00:00:00,https://www.theinformation.com/articles/jellysmack-aims-to-cut-200-french-workers,Unknown,22.0,Series C,2023-02-16 17:46:29,France,
DigitalOcean,New York City,Infrastructure,200,2023-02-15 00:00:00,https://www.theregister.com/2023/02/15/digitalocean_layoffs/,https://docs.google.com/spreadsheets/d/1NFER_9iyOPHorGdML96zEbgfzcgN_5DqGJoRaCFipx0/edit?resourcekey#gid=1469096412,491.0,Post-IPO,2023-02-15 22:55:04,United States,0.11
Sprinklr,New York City,Support,100,2023-02-15 00:00:00,https://techcrunch.com/2023/02/15/sprinklr-layoffs-2023/,Unknown,429.0,Post-IPO,2023-02-15 19:05:49,United States,0.04
Betterment,New York City,Finance,28,2023-02-15 00:00:00,https://www.businessinsider.com/betterment-layoffs-digital-wealth-management-firm-cuts-costs-2023-2,Unknown,435.0,Series F,2023-02-16 16:07:42,United States,
Divvy Homes,SF Bay Area,Real Estate,,2023-02-15 00:00:00,https://www.inman.com/2023/02/15/divvy-homes-employees-say-there-has-been-another-round-of-layoffs/,https://docs.google.com/spreadsheets/d/1S3xYkwoQWeVer925yoD3hWwgDJaoYWna7fsHPPkjCnY/edit#gid=1258079018,180.0,Series B,2023-02-16 20:55:49,United States,
Milkrun,Sydney,Food,,2023-02-15 00:00:00,https://www.smh.com.au/technology/milkrun-slashes-workforce-closes-delivery-hubs-in-cash-crunch-20230215-p5ckny.html,Unknown,86.0,Series A,2023-02-15 19:04:56,Australia,0.2
Momentive,SF Bay Area,Marketing,,2023-02-15 00:00:00,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001739936/b9e6bc4a-1447-4316-be95-a69aca1214cb.pdf,Unknown,1100.0,Post-IPO,2023-02-17 01:58:14,United States,0.14
Observe.AI,SF Bay Area,Support,,2023-02-15 00:00:00,https://www.channelfutures.com/business-models/observe-ai-layoffs-could-impact-partners-ability-to-sell,Unknown,214.0,Series C,2023-02-16 15:55:44,United States,
Religion of Sports,Los Angeles,Media,,2023-02-15 00:00:00,https://www.nytimes.com/2023/02/15/arts/podcast-industry-spotify.html,Unknown,63.0,Series B,2023-02-26 02:10:43,United States,
Tackle,Boise,Other,,2023-02-15 00:00:00,https://tackle.io/resources/company-news/tackle-update-from-ceo-john-jahnke/,Unknown,148.0,Series C,2023-02-15 21:55:55,United States,0.15
Vicarious Surgical,Boston,Healthcare,,2023-02-15 00:00:00,https://www.medtechdive.com/news/RBOT-Vicarious-Baxter-BAX-layoffs/642848/,Unknown,185.0,Post-IPO,2023-02-16 15:35:57,United States,0.14
CommerceHub,Albany,Retail,371,2023-02-14 00:00:00,https://www.bizjournals.com/albany/news/2023/02/14/commercehub-channeladvisor-tech-layoffs.html,Unknown,,Acquired,2023-02-15 00:49:11,United States,0.31
HackerEarth,SF Bay Area,HR,,2023-02-14 00:00:00,https://inc42.com/buzz/prime-venture-backed-hackerearth-trims-workforce-introduces-pay-cut-globally/,Unknown,11.0,Series B,2023-02-14 15:16:59,United States,0.08
PhableCare,Bengaluru,Healthcare,,2023-02-14 00:00:00,https://inc42.com/buzz/exclusive-hundreds-of-layoffs-delayed-salaries-is-kalaari-backed-phablecare-the-latest-startup-to-bite-the-dust/,Unknown,40.0,Series B,2023-02-15 00:50:25,India,0.7000000000000001
Udemy,SF Bay Area,Education,,2023-02-14 00:00:00,https://about.udemy.com/udemy-news/a-message-from-gregg-coccari-ceo-of-udemy/,Unknown,311.0,Post-IPO,2023-02-15 00:53:15,United States,0.1
Twilio,SF Bay Area,Other,1500,2023-02-13 00:00:00,https://www.cnbc.com/2023/02/13/twilio-layoffs-1500-employees-17percent-of-workforce.html,Unknown,614.0,Post-IPO,2023-02-13 16:24:17,United States,0.17
Electric,New York City,Other,141,2023-02-13 00:00:00,https://www.electric.ai/blog/open-letter-feb-2023,Unknown,212.0,Series D,2023-02-14 15:14:49,United States,0.25
EMX Digital,New York City,Marketing,100,2023-02-13 00:00:00,https://www.businessinsider.com/big-village-bankruptcy-emx-digital-employees-furious-about-layoffs-severance-2023-2,Unknown,,Unknown,2023-02-24 18:35:19,United States,1.0
PetLove,Sao Paulo,Retail,94,2023-02-13 00:00:00,https://oglobo.globo.com/blogs/capital/post/2023/02/petlove-demite-quase-cem-funcionarios.ghtml,Unknown,225.0,Series C,2023-02-15 21:57:42,Brazil,
iRobot,Boston,Consumer,85,2023-02-13 00:00:00,https://www.cnbc.com/2023/02/13/irobot-layoffs-7percent-of-workforce-at-roomba-maker-let-go.html,Unknown,30.0,Acquired,2023-02-14 15:06:56,United States,0.07
Collective Health,SF Bay Area,Healthcare,54,2023-02-13 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7031422708764581888/,Unknown,719.0,Series F,2023-02-15 02:06:32,United States,
Magic Eden,SF Bay Area,Crypto,22,2023-02-13 00:00:00,https://decrypt.co/121253/layoffs-hit-solana-nft-marketplace-magic-eden-sheds-22-employees,Unknown,170.0,Series B,2023-02-14 15:12:47,United States,
Casavo,Milan,Real Estate,,2023-02-13 00:00:00,https://casavo.com/blog/a-difficult-decision-to-strengthen-casavos-foundations-for-the-future/,Unknown,708.0,Unknown,2023-02-13 17:48:59,Italy,0.3
Foodpanda,Singapore,Food,,2023-02-13 00:00:00,https://www.techinasia.com/foodpanda-layoff-feb23,Unknown,749.0,Acquired,2023-02-14 15:08:37,Singapore,
Getir,London,Food,,2023-02-13 00:00:00,https://sifted.eu/articles/getir-layoff-uk-staff-gorillas-merger-news/,Unknown,1800.0,Series E,2023-02-14 00:42:47,United Kingdom,
LinkedIn,SF Bay Area,HR,,2023-02-13 00:00:00,https://www.theinformation.com/articles/microsofts-linkedin-lays-off-staff-amid-hiring-slowdown,Unknown,154.0,Acquired,2023-02-13 20:53:00,United States,
Moladin,Jakarta,Transportation,360,2023-02-12 00:00:00,https://aimgroup.com/2023/02/12/used-car-marketplace-moladin-lays-off-360/,Unknown,138.0,Series B,2023-02-13 17:52:55,Indonesia,0.11
TripleLift,New York City,Marketing,100,2023-02-10 00:00:00,https://www.adexchanger.com/online-advertising/triplelift-announces-layoffs-the-latest-in-a-miserable-trend/,Unknown,16.0,Acquired,2023-02-13 17:51:12,United States,0.2
TikTok India,Mumbai,Consumer,40,2023-02-10 00:00:00,https://www.livemint.com/technology/tech-news/tiktok-sacks-entire-india-staff-report-11676001745604.html,Unknown,9400.0,Acquired,2023-02-10 16:57:01,India,
Open Co,Sao Paulo,Finance,,2023-02-10 00:00:00,https://docs.google.com/spreadsheets/d/1DBlNWL0LlbZf7vDoxy-c1IpBfK9-poS25x3JB7c8ip0/edit#gid=0,https://docs.google.com/spreadsheets/d/1DBlNWL0LlbZf7vDoxy-c1IpBfK9-poS25x3JB7c8ip0/edit#gid=0,140.0,Series D,2023-02-15 22:57:06,Brazil,
Rigetti Computing,SF Bay Area,Hardware,,2023-02-10 00:00:00,https://www.marketwatch.com/story/rigetti-computing-to-slash-28-of-jobs-59be433b,Unknown,298.0,Post-IPO,2023-02-10 22:04:09,United States,0.28
Yahoo,SF Bay Area,Consumer,1600,2023-02-09 00:00:00,https://www.axios.com/2023/02/09/yahoo-layoffs-2023-tech-media-companies,Unknown,6.0,Acquired,2023-02-09 19:04:22,United States,0.2
Misfits Market,Philadelphia,Food,649,2023-02-09 00:00:00,https://www.bizjournals.com/philadelphia/inno/stories/news/2023/02/09/misfits-market-layoffs-delanco-philadelphia.html,Unknown,526.0,Series C,2023-02-16 15:45:20,United States,0.33
Deliveroo,London,Food,350,2023-02-09 00:00:00,https://news.sky.com/story/deliveroo-to-cut-hundreds-of-jobs-globally-and-uk-to-be-worst-hit-12806890,Unknown,1700.0,Post-IPO,2023-02-09 16:21:49,United Kingdom,0.09
Olive AI,Columbus,Healthcare,215,2023-02-09 00:00:00,https://www.axios.com/pro/health-tech-deals/2023/02/09/olive-ai-lays-off-third-company,https://docs.google.com/spreadsheets/d/1dGu7jbSjzgP0JqaYEMunouIS5S2tYK5McY2DBmehyRg/edit,856.0,Series H,2023-02-10 00:47:56,United States,0.35000000000000003
GitLab,SF Bay Area,Product,130,2023-02-09 00:00:00,https://www.cnbc.com/2023/02/09/gitlab-layoffs-company-to-cut-7percent-of-staff-or-about-130-employees.html,Unknown,413.0,Post-IPO,2023-02-09 15:53:24,United States,0.07
Bark,New York City,Retail,126,2023-02-09 00:00:00,https://investors.bark.co/news/news-details/2023/BARK-Reports-Third-Quarter-Fiscal-Year-2023-Results/default.aspx,https://docs.google.com/spreadsheets/d/19az7feguB2oPaVZmg91c4iYvOuwSbEEH-t1gSOUiMHM/edit#gid=304684298,,Post-IPO,2023-02-10 02:01:41,United States,0.12
Nomad Health,New York City,Healthcare,119,2023-02-09 00:00:00,https://www.forbes.com/sites/katiejennings/2023/02/09/staffing-marketplace-nomad-health-lays-off-20-of-workforce-employees-say/?sh=71b4037a1557,https://docs.google.com/spreadsheets/d/1r5lHfTtqbVf5OYtrlqZNacxqvII-tM6N1luYYEL7wa0/edit#gid=0,218.0,Unknown,2023-02-10 21:21:07,United States,0.17
Veriff,Tallinn,Security,66,2023-02-09 00:00:00,https://digipro.geenius.ee/rubriik/uudis/veriff-koondab-66-tootajat-kotkas-meie-kasvuplaan-oli-oluliselt-ambitsioonikam/,Unknown,192.0,Series C,2023-02-09 16:24:08,Estonia,0.12
REE Automotive,Tel Aviv,Transportation,31,2023-02-09 00:00:00,https://www.calcalistech.com/ctechnews/article/s16tkompi,Unknown,317.0,Post-IPO,2023-02-11 00:26:57,Israel,0.11
GitHub,SF Bay Area,Product,,2023-02-09 00:00:00,https://fortune.com/2023/02/09/github-is-laying-off-10-of-staff-and-cutting-down-office-space/,Unknown,350.0,Acquired,2023-02-09 18:13:33,United States,0.1
Quillt,St. Louis,Media,,2023-02-09 00:00:00,https://www.bizjournals.com/stlouis/inno/stories/news/2023/02/09/quillt-layoffs-digital-publishing.html,Unknown,,Unknown,2023-02-10 16:59:10,United States,
WeTrade,Bengaluru,Crypto,,2023-02-09 00:00:00,https://inc42.com/buzz/bengaluru-based-crypto-startup-wetrade-shuts-operations-amidst-hostile-ambience/,Unknown,,Unknown,2023-02-09 16:27:20,India,1.0
GoDaddy,Phoenix,Marketing,530,2023-02-08 00:00:00,https://techstartups.com/2023/02/08/godaddy-to-lay-off-8-of-its-workforce-or-about-530-employees-amid-global-economic-slowdown/,Unknown,800.0,Post-IPO,2023-02-08 22:43:33,United States,0.08
Affirm,SF Bay Area,Finance,500,2023-02-08 00:00:00,https://www.wsj.com/articles/affirm-cuts-500-employees-19-of-its-workforce-11675897002,https://docs.google.com/spreadsheets/d/1thtK4ppRXt_tnd_6cOqoEBAClOnOm5AgUgXnERzlQJM/edit#gid=0,1500.0,Post-IPO,2023-02-08 21:27:27,United States,0.19
Gusto,SF Bay Area,HR,126,2023-02-08 00:00:00,https://gusto.com/company-news/josh-reeves-message-to-all-gusto,https://docs.google.com/spreadsheets/d/17D1FSnCSoA3C2ocJgAFuDdpMsWlcpmWWL1aZ4PT3K20/htmlview,746.0,Series E,2023-02-08 17:20:23,United States,0.05
Gong,SF Bay Area,Sales,80,2023-02-08 00:00:00,https://www.calcalistech.com/ctechnews/article/hjyj6811as,Unknown,583.0,Series E,2023-02-08 19:31:00,United States,0.07
Beam Benefits,Columbus,Healthcare,31,2023-02-08 00:00:00,https://www.bizjournals.com/columbus/inno/stories/news/2023/02/16/beam-benefits-job-cuts.html,Unknown,168.0,Series E,2023-02-17 17:23:47,United States,0.08
Equitybee,SF Bay Area,Finance,24,2023-02-08 00:00:00,https://www.calcalistech.com/ctechnews/article/h1jkvzwpo,Unknown,85.0,Series B,2023-02-09 00:44:58,United States,0.25
Baraja,Sydney,Transportation,,2023-02-08 00:00:00,https://www.news.com.au/finance/business/technology/australian-driverless-car-startup-baraja-worth-300m-sacks-75-per-cent-of-staff/news-story/c7c36ac5afded8f5171e8cc0ec5a71af,Unknown,63.0,Unknown,2023-02-08 17:46:18,Australia,0.75
Koho,Toronto,Finance,,2023-02-08 00:00:00,https://betakit.com/koho-lays-off-14-percent-of-staff/,Unknown,278.0,Series D,2023-02-08 17:50:03,Canada,0.14
Medly,New York City,Healthcare,,2023-02-08 00:00:00,https://www.businessinsider.com/medly-is-shutting-down-after-pharmacy-startup-declared-bankruptcy-2023-2,Unknown,100.0,Series C,2023-02-11 00:24:28,United States,1.0
Nearmap,Sydney,Construction,,2023-02-08 00:00:00,https://www.afr.com/technology/c-suite-coup-mass-layoffs-at-nearmap-as-us-owner-wields-axe-20230207-p5cil4,Unknown,15.0,Acquired,2023-02-08 17:38:11,Australia,0.2
Zoom,SF Bay Area,Other,1300,2023-02-07 00:00:00,https://www.cnbc.com/2023/02/07/zoom-to-lay-off-1300-employees-or-about-15percent-of-its-workforce.html,https://coda.io/@alumni/zoom-alumni-list,276.0,Post-IPO,2023-02-07 18:47:26,United States,0.15
eBay,SF Bay Area,Retail,500,2023-02-07 00:00:00,https://www.reuters.com/technology/ebay-lay-off-500-employees-2023-02-07/,https://docs.google.com/spreadsheets/d/19dj85tMJDVQ4v-85elXfMNn7R9UwOcqOFSzoQnGa2T4/edit?resourcekey#gid=766625628,1200.0,Post-IPO,2023-02-07 22:26:57,United States,0.04
SecureWorks,Atlanta,Security,212,2023-02-07 00:00:00,https://www.marketwatch.com/story/secureworks-to-cut-9-of-its-workforce-as-layoffs-could-affect-more-than-200-employees-01675779796,Unknown,83.0,Post-IPO,2023-02-07 15:30:11,United States,0.09
Salesloft,Atlanta,Sales,100,2023-02-07 00:00:00,https://www.bizjournals.com/atlanta/news/2023/02/07/salesloft-lays-off-workers.amp.html,Unknown,245.0,Acquired,2023-02-08 17:24:10,United States,0.1
Openpay,Melbourne,Finance,83,2023-02-07 00:00:00,https://www.9news.com.au/finance/openpay-buy-now-pay-later-collapses-asx-listed-company/1fd1c0d8-4215-4e64-a9ed-9381e0d3f1a5,Unknown,299.0,Post-IPO,2023-02-07 03:58:28,Australia,1.0
LearnUpon,Dublin,Education,27,2023-02-07 00:00:00,https://www.independent.ie/business/technology/learnupon-to-let-27-go-as-tech-layoffs-continue-42331418.html,Unknown,56.0,Private Equity,2023-02-08 17:37:14,Ireland,0.09
Sana Benefits,Austin,HR,,2023-02-07 00:00:00,https://www.sanabenefits.com/blog/a-letter-from-ceo-and-co-founder-will-young-to-sana-employees/,Unknown,106.0,Series B,2023-02-08 17:42:28,United States,0.19
Dell,Austin,Hardware,6650,2023-02-06 00:00:00,https://www.bloomberg.com/news/articles/2023-02-06/dell-dell-lays-off-about-6-650-employees-in-latest-tech-cuts#xj4y7vzkg,Unknown,,Post-IPO,2023-02-06 15:48:37,United States,0.05
Loggi,Sao Paulo,Logistics,300,2023-02-06 00:00:00,https://www.infomoney.com.br/negocios/pela-segunda-vez-loggi-reduz-equipe-com-demissoes-em-massa/,Unknown,507.0,Series F,2023-02-07 03:45:59,Brazil,0.07
Catch.com.au,Melbourne,Retail,100,2023-02-06 00:00:00,https://www.channelnews.com.au/wesfarmers-axes-100-catch-employees/,Unknown,80.0,Acquired,2023-02-14 15:11:50,Australia,
VinFast US,Los Angeles,Transportation,80,2023-02-06 00:00:00,https://www.bloomberg.com/news/articles/2023-02-07/vinfast-cuts-about-80-jobs-in-north-america-including-us-cfo#xj4y7vzkg,Unknown,,Subsidiary,2023-02-08 17:53:01,United States,
Drift,Boston,Marketing,59,2023-02-06 00:00:00,https://www.bizjournals.com/boston/news/2023/02/06/drift-layoffs-2023-economic-conditions.html,Unknown,107.0,Acquired,2023-02-07 03:56:03,United States,
Pocket Aces,Mumbai,Media,50,2023-02-06 00:00:00,https://economictimes.indiatimes.com/tech/startups/pocket-aces-lays-off-over-20-of-its-workforce/articleshow/97626118.cms,Unknown,19.0,Unknown,2023-02-06 19:12:45,India,0.25
